Replicas of (Order 1): are [(2, 'localhost', '8094'), (3, 'localhost', '8095')]
(Order 1): Notified replica with id 1 of leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
[Thread-1 (write_to_disk)] order written to CSV.
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
[Thread-1 (write_to_disk)] order written to CSV.
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
(Order 1): Received request to replicate order from the leader with id 3
